Mandal,Date,Rain (mm),Min Temp,Max Temp,Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),SO2,Nox,PM 10,NH3,PM 2.5,Petrol Vehicle,Diesel Vehicle,Electric Vehicle,1-3 seater,4-7 seater,8-20 seater,20+ seater,AQI
Adilabad Rural,04-12-2022,-1.540239007,8.941563785,,33.93091955,95.13499079,0.299609489,9.220148044,10.22046986,29.42662184,66.00626833,44.84914217,21.56176094,-71.21328957,-4.577653659,-0.511546989,-48.76590501,5.511022817,0.259099759,0.06702967,
Adilabad Rural,05-12-2022,-1.530279481,7.643846879,,35.44558556,93.53270363,0.399608765,7.305649014,10.21845796,29.42657415,66.02556133,44.84482279,21.56435955,-87.46905827,-3.833087458,-0.510462888,-64.2738451,6.511842021,0.009379288,0.067029682,
Adilabad Rural,06-12-2022,-1.525234988,8.946495642,,34.87244506,94.04500919,-0.00039147,8.190262713,10.2163681,29.425539,66.0463988,44.84172431,21.56652581,-102.2132194,-8.826192099,-0.509530271,-80.00301594,2.764242428,0.009669976,0.06703082,
Adilabad Rural,07-12-2022,-1.52460054,9.821460591,,38.51027284,93.12238999,0.074610379,8.329336839,10.21491306,29.4248549,66.06670871,44.83901461,21.56838402,-103.2171603,-10.56491177,-0.508619752,-79.94783988,0.765924015,0.010005397,0.067032691,
Adilabad Rural,08-12-2022,-1.526546293,10.12011166,,48.02872827,95.75106304,0.024610256,7.505582268,10.21431517,29.42444812,66.08585016,44.8370455,21.57033071,-102.0620132,-10.06166442,-0.50766286,-78.85350418,2.767365428,0.010310881,0.067034843,
Adilabad Rural,09-12-2022,-1.533802446,9.343891482,,41.34000228,94.29862409,0.4246056,9.249100661,10.21357185,29.42326174,66.10365517,44.83512014,21.57228085,-91.22129523,-7.319505392,-0.506871532,-65.65917232,4.76827673,0.010646003,0.067036835,
Adilabad Rural,10-12-2022,-1.161974744,10.2682931,,41.47819414,93.86998173,-0.00039094,8.332702197,10.21323546,29.4220402,66.12122327,44.8330453,21.57476271,-65.80617639,-7.829368318,-0.506151942,-39.73882162,5.019870781,0.26090809,0.067038597,
Adilabad Rural,11-12-2022,-1.549499423,10.56830082,,40.58502476,91.03209202,-0.000389882,9.643930796,10.21348262,29.42083459,66.13943499,44.8311207,21.57728092,-76.34478938,-8.828675743,0.244589317,-47.51125401,3.021921063,0.261016123,0.067040115,
Adilabad Rural,12-12-2022,-1.561004732,10.71897258,,39.97821812,88.5137484,0.049609002,7.987652689,10.21385618,29.41965257,66.15538061,44.83078388,21.57949738,-94.79069382,-5.557188687,0.245218806,-63.02696381,3.773924532,0.01100492,0.067041307,
Adilabad Rural,13-12-2022,-1.573695397,10.66783843,,46.20763223,94.38363117,-0.000391311,8.708807384,10.21375875,29.41957801,66.17382095,44.83075744,21.58279734,-81.94818232,-4.767205478,-0.504049909,-52.62240105,6.274125572,0.261065264,0.067042289,
Adilabad Rural,14-12-2022,-1.589818323,10.64279871,,47.12042035,94.93673352,0.124612241,7.972877482,10.21321465,29.41968325,66.19390691,44.82918495,21.58610991,-92.58530719,-8.72671534,-0.503054316,-63.49664345,3.524963018,0.261185582,0.067043191,
Adilabad Rural,15-12-2022,-1.609810643,9.390913174,,45.02367773,96.69361127,-0.000388145,8.580497756,10.21297538,29.41975829,66.21261138,44.82772546,21.58995873,-101.9422388,-9.201032426,0.748029954,-73.09957658,5.775018677,0.011322801,0.067044173,
Adilabad Rural,16-12-2022,-1.634959049,8.2395361,,42.64573341,95.06538774,0.024612037,7.747274463,10.21341549,29.42055576,66.2308114,44.82579782,21.59379177,-83.98231068,-4.695195732,0.749007855,-52.80981349,9.02513474,0.011477474,0.067045167,
Adilabad Rural,17-12-2022,-1.672585577,9.66358845,,38.47426074,90.55942188,0.099612836,7.540734522,10.21407493,29.42131159,66.24782895,44.82226045,21.59685206,-72.13644745,-3.211014833,0.249966674,-37.95377918,8.274789623,0.011609725,0.06704635,
Adilabad Rural,18-12-2022,1.846117045,8.812912694,,48.32329489,96.33482561,-0.000386495,4.963450439,10.21518944,29.42234086,66.2624675,44.8195682,21.60030952,-90.85661761,-3.73874325,0.251048694,-55.37615353,7.77250725,0.011743483,0.06704788,
Adilabad Rural,19-12-2022,-1.57791602,6.562993913,,45.43885829,97.27063868,-0.000385468,6.656965624,10.21647508,29.42286112,66.27774915,44.81797665,21.60389552,-98.74919832,-6.766713499,-0.247917343,-63.5103822,5.769535337,0.011777548,0.067049699,
Adilabad Rural,20-12-2022,-1.729945717,5.087395399,,43.45500787,96.36423856,0.199613579,6.712570263,10.21769527,29.42361701,66.29269594,44.81735642,21.60704512,-98.52124532,-5.785807152,1.003072789,-64.99035527,10.26596274,0.011879636,0.06705183,
Adilabad Rural,21-12-2022,-1.765280756,4.86078437,,35.64714443,92.64810706,0.224614312,9.798660428,10.2191898,29.42416616,66.30429548,44.81919108,21.61015287,-93.57761448,-5.045481061,0.754177451,-56.60288785,8.012244456,0.01209194,0.06705425,
Adilabad Rural,22-12-2022,-1.805300543,5.735630829,,27.82993509,90.82132845,-0.000381489,8.823492748,10.22119798,29.42473739,66.31586532,44.81852234,21.6135066,-91.99096683,-6.556292907,-0.494735921,-51.26811499,2.507297057,0.012241794,0.067056924,
Adilabad Rural,23-12-2022,-1.84714588,5.786615299,,29.07501862,88.19641845,-0.000381253,6.120147223,10.22319687,29.42462986,66.32723329,44.81773751,21.61676476,-95.0961752,-7.824013723,0.506391918,-56.79616715,5.754537056,0.012488257,0.067059944,
Adilabad Rural,24-12-2022,-1.891725773,7.011296498,,28.10722483,84.89371988,-0.000381082,6.067140791,10.22507085,29.42418305,66.33281816,44.8167151,21.61993258,-92.77488099,-9.092043637,0.757717945,-55.27228435,7.251158912,0.012792098,0.06706291,
Adilabad Rural,25-12-2022,-1.936853514,9.084844702,,32.7555364,92.93002415,-0.000384479,9.307242786,10.22662018,29.42168873,66.32688661,44.81870723,21.62343085,-111.9042058,-6.847723093,-0.240851305,-68.68879564,4.495110446,0.013098849,0.067066052,
Adilabad Rural,26-12-2022,-1.981619365,8.558173891,,37.22167289,93.23390923,-0.000381634,7.163076027,10.22588417,29.41694285,66.31351447,44.82195635,21.6264748,-110.5308435,-6.589092974,-0.489370795,-63.52943852,1.740411537,0.01344517,0.067069281,
Adilabad Rural,27-12-2022,-2.024342674,6.905526705,,36.22777311,93.55800676,0.09961641,7.737137099,10.22492304,29.41281366,66.30994233,44.82236987,21.62968772,-97.50661301,-1.826300902,-0.487933548,-47.4754955,3.736321284,0.263707221,0.067072433,
Adilabad Rural,28-12-2022,-2.059274653,6.428117185,,31.48851299,89.63953975,0.099612668,16.19948142,10.22549431,29.41164773,66.31062092,44.82259923,21.63429275,-103.3295683,0.675621589,-0.486534365,-53.201134,6.981658544,0.26392874,0.067075613,
Adilabad Rural,29-12-2022,-2.078378751,7.825911393,,31.09026212,89.89648591,-0.000389434,10.12491818,10.22583829,29.40800644,66.30164373,44.8266817,21.6380912,-103.8672591,-1.836965238,-0.485161811,-54.50796727,6.227390301,0.014165897,0.067078984,
Adilabad Rural,30-12-2022,0.243644363,8.125659481,,38.59932807,88.82481918,0.574624111,6.775450744,10.22631848,29.40301066,66.29252641,44.83091573,21.64234405,-89.01891459,9.88418408,-0.483866245,-33.33352607,12.72313609,0.014455998,0.067082532,
Adilabad Rural,31-12-2022,-2.20549627,7.524361505,,48.30320462,96.57973405,-0.000393033,8.218085734,10.37607935,29.87275627,67.52696478,42.33100547,21.64587501,-139.4907446,-7.400192434,-0.482398522,-85.36565343,-0.530399823,0.014740305,0.06708639,
Adilabad Rural,01-01-2023,-2.034263849,7.503121445,,46.88914187,96.1447235,0.00634802,7.843118397,11.20097122,29.84132178,62.26027527,38.32979681,21.14892795,-99.99105676,-2.245543821,-0.480436456,-45.16702458,4.513343955,0.015052523,0.067097258,
Adilabad Rural,02-01-2023,1.752842548,7.243258403,,43.37338737,95.38335612,0.006344716,6.358809626,11.20006105,29.83401437,62.24344043,38.32740084,21.15112067,-102.789378,0.560305765,-0.479203646,-45.17420282,6.109413163,0.015286763,0.067095826,
Adilabad Rural,03-01-2023,-2.337372791,7.703466944,,44.68940111,95.69998443,0.006337448,4.366197377,11.19954522,29.82832757,62.22209644,38.32538708,21.15264435,-101.8047102,0.57515121,-0.478083043,-43.50613846,6.506008712,0.015479958,0.067099339,
Adilabad Rural,04-01-2023,-2.310223046,7.344781472,,42.0508428,97.05351046,0.006334173,5.270917311,11.19923536,29.82124204,62.20223503,38.32423076,21.15479021,-105.5737348,0.772225267,-0.076938624,-44.64425638,4.902327854,0.015750777,0.067102089,
Adilabad Rural,05-01-2023,-2.34104989,7.406740767,,38.32997718,94.58215039,0.006329529,6.110981966,11.19805589,29.81462692,62.17619426,38.32293514,21.15668049,-115.4685997,-3.241994821,0.524136862,-53.93233229,2.098179806,0.015908351,0.067103815,
Adilabad Rural,06-01-2023,-2.392204556,9.606578287,,38.57054702,93.30245396,0.006337478,5.755957125,11.19750318,29.80777738,62.15362732,38.32138697,21.15865983,-117.206797,-6.878102879,0.92524596,-58.11986518,2.293977718,0.216042229,0.067105246,
Adilabad Rural,07-01-2023,-2.464538951,11.40672973,,43.81393016,90.19073481,0.006334343,6.400825387,11.19570175,29.80041772,62.12714739,38.31955767,21.15980693,-109.9871389,-4.14425045,0.326262941,-50.62582164,4.488540599,0.216082642,0.0671066,
Adilabad Rural,08-01-2023,-1.68524619,9.74648752,,48.55321808,93.21608508,0.006333235,7.041949566,11.19438616,29.79312037,62.10159479,38.31745991,21.16155294,-118.9932206,-5.022486278,-0.472741047,-59.59064426,3.883643683,0.016103319,0.06710822,
Adilabad Rural,09-01-2023,-2.409220575,8.66698862,,47.4773898,93.95685213,0.006335832,7.569444012,11.1932388,29.78544275,62.07751044,38.31471842,21.16327422,-124.8495677,-7.501942921,-0.071593037,-64.41576563,1.880244639,0.016144438,0.067110021,
Adilabad Rural,10-01-2023,-1.691763486,7.70712849,,38.27481162,93.81441624,0.006340822,7.58568847,11.19222632,29.77784049,62.05407036,38.31171931,21.16488418,-116.3670395,-6.166740219,0.129533665,-55.15695256,2.876303377,0.416269181,0.067112102,
Adilabad Rural,11-01-2023,1.746855361,8.128582266,,40.61185191,91.07326409,0.206340088,3.86464248,11.19128727,29.77049194,62.03243923,38.30780806,21.16639654,-123.5126326,-4.208963556,-0.26927465,-60.42594444,3.272378428,0.416330922,0.067113965,
Adilabad Rural,12-01-2023,-0.52577247,10.40876834,,41.03657596,93.59886607,0.006338779,5.757719465,11.19056447,29.76332668,62.01239866,38.30354082,21.16800785,-134.4864826,-6.22817652,-0.468156188,-70.72374053,1.867894347,0.016403076,0.067115697,
Adilabad Rural,13-01-2023,-2.289983888,10.55167762,,44.49802205,94.04974002,0.006338439,5.628789243,11.18982239,29.75605977,61.99404236,38.2998978,21.16984096,-132.4659715,-9.029132679,-0.467206635,-69.81993714,1.662149746,0.016457996,0.067117376,
Adilabad Rural,14-01-2023,0.142598551,10.93256239,,42.86356913,93.58872213,0.006342763,6.761280192,11.18913269,29.74872625,61.97563078,38.29715834,21.17143594,-138.4276904,-9.826771826,-0.466083506,-74.30746312,0.655864054,0.016467164,0.067118882,
Adilabad Rural,15-01-2023,-2.540502857,9.551812151,,41.28537359,95.0981761,0.1863457,5.841367958,11.18862589,29.74161128,61.95635829,38.29595486,21.1728084,-134.9457319,-9.028372203,-0.464904605,-68.62605212,0.048767098,0.016461093,0.067120694,
Adilabad Rural,16-01-2023,-2.652726948,8.632492597,,46.34240997,92.89705501,0.006339782,5.541340401,11.18802115,29.73513713,61.93877573,38.29591385,21.17388841,-117.4776103,-6.029392313,-0.463807873,-49.71299002,2.441423114,0.016391001,0.067122168,
Adilabad Rural,17-01-2023,-2.678469103,8.17441228,,42.06343171,93.55479708,0.006347141,5.831062564,11.18732952,29.7280434,61.92177659,38.29474052,21.17460559,-120.0197808,-6.042054862,-0.462755372,-50.52188823,2.43383333,0.016387055,0.067123811,
Adilabad Rural,18-01-2023,-2.660366656,8.59515695,,35.70485863,95.19150401,0.006346199,3.436289783,11.18693281,29.72134467,61.90627448,38.29311286,21.17524555,-120.6257649,-3.668682379,-0.461868739,-49.99668486,4.225785748,0.016423387,0.067125558,
Adilabad Rural,19-01-2023,-2.623170831,7.636529662,,37.50361788,94.4387705,0.006345945,4.96754096,11.18645356,29.71438203,61.89220969,38.29223226,21.17572431,-120.1455897,-3.29358624,-0.261022773,-48.81111959,4.818759942,0.016417187,0.067127137,
Adilabad Rural,20-01-2023,-2.586734432,7.978362518,,37.80918577,89.28568785,0.006348509,3.635334181,11.18604348,29.70759229,61.87868042,38.2908784,21.17621362,-132.37923,-6.308673148,0.139659174,-59.96329957,2.812184527,0.016324431,0.067128701,
Adilabad Rural,21-01-2023,-2.552127414,9.260052305,,33.19976745,87.56169784,0.286350788,4.648265651,11.18563167,29.70073851,61.86294565,38.28755166,21.17679587,-134.0939392,-5.947673216,0.340477343,-61.0977043,3.804691575,0.016343709,0.067130342,
Adilabad Rural,22-01-2023,-2.531157803,10.04047695,,33.87160613,87.34747423,0.006353272,6.884008529,11.18486759,29.69369166,61.84798346,38.28346895,21.17708455,-130.8135892,-6.365649201,-0.058878427,-57.22530696,2.997477648,0.016422643,0.067131647,
